Title,DOI,Downloaded
,10.1007/s11101-023-09864-1,0
,10.1007/s00289-022-04611-6,0
,10.1007/s10930-023-10137-1,0
,10.1007/s11030-022-10541-2,0
,10.1007/s10863-023-09972-9,0
,10.1007/s10570-023-05417-z,0
,10.1038/s41557-023-01289-9,0
,10.1007/s11101-023-09869-w,0
,10.1007/s00706-023-03043-w,0
,10.1007/s10570-023-05449-5,0
,10.1007/s10847-023-01199-w,0
,10.1007/s00289-022-04606-3,0
,10.1007/s10570-023-05453-9,0
,10.1007/s10930-023-10136-2,0
,10.1007/s13738-023-02862-2,0
,10.1007/s10570-023-05454-8,0
,10.1007/s10570-023-05483-3,0
,10.1007/s10930-023-10132-6,0
,10.1007/s00214-023-03038-0,0
,10.1038/s41429-023-00637-8,0
,10.1007/s00706-023-03074-3,0
,10.1007/s10904-023-02770-1,0
,10.1007/s00289-022-04593-5,0
,10.1038/s41557-023-01302-1,0
,10.1007/s10904-023-02811-9,0
,10.1007/s00289-023-04988-y,0
,10.1007/s00723-023-01619-7,0
,10.1186/s40538-023-00477-6,0
,10.1186/s40538-023-00479-4,0
,10.1186/s40538-023-00480-x,0
,10.1186/s40538-023-00476-7,0
,10.1186/s40538-023-00470-z,0
,10.1186/s40538-023-00475-8,0
,10.1186/s40538-023-00471-y,0
,10.1038/s41557-023-01339-2,0
,10.1007/s00723-023-01611-1,0
,10.1007/s00289-023-05003-0,0
,10.1186/s40538-023-00469-6,0
,10.1007/s00723-023-01612-0,0
,10.1186/s40538-023-00445-0,0
,10.1186/s40538-023-00467-8,0
,10.1007/s00214-023-03042-4,0
,10.1186/s40538-023-00457-w,0
,10.1038/s41557-023-01321-y,0
,10.1186/s40538-023-00464-x,0
,10.1007/s10904-023-02841-3,0
,10.1186/s40538-023-00462-z,0
,10.1186/s40538-023-00460-1,0
,10.1186/s40538-023-00465-w,0
,10.1186/s40538-023-00463-y,0
,10.1186/s40538-023-00466-9,0
,10.1007/s00723-023-01610-2,0
,10.1186/s40538-023-00459-8,0
,10.1007/s00289-023-04930-2,0
,10.1007/s10904-023-02838-y,0
,10.1007/s00289-022-04548-w,0
,10.1134/S1070428023090269,0
,10.1007/s10600-023-04187-1,0
,10.1007/s10600-023-04188-0,0
,10.1007/s10570-023-05444-w,0
,10.1007/s10904-023-02813-7,0
,10.1007/s00706-023-03110-2,0
,10.1007/s10600-023-04186-2,0
,10.1007/s00289-022-04530-6,0
,10.1007/s41981-023-00265-1,0
,10.1007/s10904-023-02708-7,0
,10.1007/s00289-022-04557-9,0
,10.1007/s41981-023-00269-x,0
,10.1007/s10570-023-05357-8,0
,10.1007/s10570-023-05397-0,0
,10.1007/s10570-023-05414-2,0
,10.1007/s00289-022-04505-7,0
,10.1007/s10570-023-05388-1,0
,10.1007/s10570-023-05415-1,0
,10.1007/s10570-023-05399-y,0
,10.1007/s10904-023-02699-5,0
,10.1007/s00706-023-03083-2,0
,10.1134/S1070428023090233,0
,10.1007/s10570-023-05372-9,0
,10.1007/s00706-023-03097-w,0
,10.1007/s10570-023-05391-6,0
,10.1007/s10570-023-05374-7,0
,10.1007/s00289-022-04531-5,0
,10.1007/s10570-023-05432-0,0
,10.1007/s00706-023-03108-w,0
